ID,commune,id_region,date
1,Antofagasta,2,2022-08-01 17:34:37
2,Calama,2,2022-07-06 12:30:00
3,Mejillones,2,2022-07-06 12:30:00
4,San Pedro de Atacama,2,2022-07-06 12:30:00
5,Taltal,2,2022-07-06 12:30:00
6,Tocopilla,2,2022-07-06 12:30:00
7,Arica,15,2022-07-06 12:30:00
8,Putre,15,2022-07-06 12:30:00
9,Caldera,3,2022-07-06 12:30:00
10,Chañaral,3,2022-07-06 12:30:00
11,Copiapó,3,2022-10-19 14:39:37
12,Diego de Almagro,3,2022-07-06 12:30:00
13,Huasco,3,2022-07-06 12:30:00
14,Tierra Amarilla,3,2022-07-06 12:30:00
15,Vallenar,3,2022-07-06 12:30:00
16,Aysén,11,2022-07-06 12:30:00
17,Chile Chico,11,2022-07-06 12:30:00
18,Cochrane,11,2022-07-06 12:30:00
19,Coyhaique,11,2023-03-06 13:24:33
20,Arauco,8,2022-07-06 12:30:00
22,Cabrero,8,2022-07-06 12:30:00
24,Cañete,8,2022-07-06 12:30:00
25,Chiguayante,8,2022-07-06 12:30:00
26,Concepción,8,2022-07-06 12:30:00
27,Coronel,8,2022-07-06 12:30:00
28,Curanilahue,8,2022-07-06 12:30:00
29,Hualpén,8,2022-07-06 12:30:00
30,Hualqui,8,2022-07-06 12:30:00
31,Laja,8,2022-07-06 12:30:00
32,Lebu,8,2022-07-06 12:30:00
33,Los Álamos,8,2022-07-06 12:30:00
34,Los Ángeles,8,2022-07-06 12:30:00
35,Lota,8,2022-07-06 12:30:00
36,Mulchén,8,2022-07-06 12:30:00
37,Nacimiento,8,2022-07-06 12:30:00
38,Penco,8,2022-07-06 12:30:00
39,San Pedro de la Paz,8,2022-07-06 12:30:00
40,Santa Bárbara,8,2022-07-06 12:30:00
41,Santa Juana,8,2022-07-06 12:30:00
42,Talcahuano,8,2022-07-06 12:30:00
43,Tome,8,2022-07-13 10:39:13
44,Tucapel,8,2022-07-06 12:30:00
45,Yumbel,8,2022-07-06 12:30:00
46,Andacollo,4,2022-07-06 12:30:00
47,Combarbalá,4,2022-07-06 12:30:00
48,Coquimbo,4,2022-07-06 12:30:00
50,Illapel,4,2022-07-06 12:30:00
51,La Serena,4,2022-07-06 12:30:00
52,Los Vilos,4,2022-07-06 12:30:00
53,Monte Patria,4,2022-07-06 12:30:00
55,Ovalle,4,2022-07-06 12:30:00
56,Punitaqui,4,2022-07-06 12:30:00
57,Salamanca,4,2022-07-06 12:30:00
58,Vicuña,4,2022-07-06 12:30:00
59,Angol,9,2022-07-06 12:30:00
60,Carahue,9,2022-07-06 12:30:00
61,Collipulli,9,2022-07-06 12:30:00
62,Cunco,9,2022-07-06 12:30:00
63,Freire,9,2022-07-06 12:30:00
64,Gorbea,9,2022-07-06 12:30:00
65,Lautaro,9,2022-07-06 12:30:00
66,Loncoche,9,2022-07-06 12:30:00
67,Nueva Imperial,9,2022-07-06 12:30:00
68,Padre Las Casas,9,2022-07-06 12:30:00
69,Pitrufquén,9,2022-07-06 12:30:00
70,Pucón,9,2022-07-06 12:30:00
71,Purén,9,2022-07-06 12:30:00
72,Renaico,9,2022-07-06 12:30:00
73,Temuco,9,2022-07-06 12:30:00
75,Traiguén,9,2022-07-06 12:30:00
76,Victoria,9,2022-07-06 12:30:00
77,Vilcún,9,2022-07-06 12:30:00
79,Villarrica,9,2022-07-06 12:30:00
80,Chépica,6,2022-07-06 12:30:00
81,Chimbarongo,6,2022-07-06 12:30:00
82,Codegua,6,2022-07-06 12:30:00
83,Coltauco,6,2022-11-04 8:49:12
84,Doñihue,6,2022-07-06 12:30:00
86,Graneros,6,2022-07-06 12:30:00
87,Las Cabras,6,2022-07-06 12:30:00
88,Machalí,6,2022-07-06 12:30:00
89,Mostazal,6,2022-07-06 12:30:00
91,Nancagua,6,2022-07-06 12:30:00
92,Olivar,6,2022-07-06 12:30:00
93,Peralillo,6,2022-07-06 12:30:00
94,Peumo,6,2022-07-06 12:30:00
95,Pichidegua,6,2022-07-06 12:30:00
96,Pichilemu,6,2022-07-06 12:30:00
97,Quinta de Tilcoco,6,2022-07-06 12:30:00
98,Rancagua,6,2022-07-06 12:30:00
99,Rengo,6,2022-07-06 12:30:00
100,Requínoa,6,2022-07-06 12:30:00
101,San Fernando,6,2022-07-06 12:30:00
102,San Vicente,6,2022-07-06 12:30:00
103,Santa Cruz,6,2022-07-06 12:30:00
104,Ancud,10,2022-07-06 12:30:00
105,Calbuco,10,2022-07-06 12:30:00
106,Castro,10,2022-07-06 12:30:00
107,Chaitén,10,2022-07-06 12:30:00
108,Chonchi,10,2022-07-06 12:30:00
109,Dalcahue,10,2022-07-06 12:30:00
110,Fresia,10,2022-07-06 12:30:00
111,Frutillar,10,2022-07-06 12:30:00
112,Llanquihue,10,2022-07-06 12:30:00
113,Los Muermos,10,2022-07-06 12:30:00
114,Osorno,10,2022-10-14 10:48:25
115,Puerto Montt,10,2022-07-06 12:30:00
117,Puerto Varas,10,2022-07-06 12:30:00
